序号,NEW_TYPE,大类,中类,小类
807,170401,公司企业,农林牧渔基地,渔场
808,170402,公司企业,农林牧渔基地,农场
809,170403,公司企业,农林牧渔基地,林场
810,170404,公司企业,农林牧渔基地,牧场
811,170405,公司企业,农林牧渔基地,家禽养殖基地
812,170406,公司企业,农林牧渔基地,蔬菜基地
813,170407,公司企业,农林牧渔基地,水果基地
814,170408,公司企业,农林牧渔基地,花卉苗圃基地
815,180000,道路附属设施,道路附属设施,道路附属设施
816,180100,道路附属设施,警示信息,警示信息
817,180101,道路附属设施,警示信息,摄像头
818,180102,道路附属设施,警示信息,测速设施
819,180103,道路附属设施,警示信息,铁路道口
820,180104,道路附属设施,警示信息,违章停车
821,180200,道路附属设施,收费站,收费站
822,180201,道路附属设施,收费站,高速收费站
823,180202,道路附属设施,收费站,国省道收费站
824,180203,道路附属设施,收费站,桥洞收费站
825,180300,道路附属设施,服务区,高速服务区
826,180301,道路附属设施,服务区,高速加油站服务区
827,180302,道路附属设施,服务区,高速停车区
828,180400,道路附属设施,红绿灯,红绿灯
829,180500,道路附属设施,路牌信息,路牌信息
830,190000,地名地址信息,地名地址信息,地名地址信息
831,190100,地名地址信息,普通地名,普通地名
832,190101,地名地址信息,普通地名,国家名
833,190102,地名地址信息,普通地名,省级地名
834,190103,地名地址信息,普通地名,直辖市级地名
835,190104,地名地址信息,普通地名,地市级地名
836,190105,地名地址信息,普通地名,区县级地名
837,190106,地名地址信息,普通地名,乡镇级地名
838,190107,地名地址信息,普通地名,街道级地名
839,190108,地名地址信息,普通地名,村庄级地名
840,190109,地名地址信息,普通地名,村组级地名
841,190200,地名地址信息,自然地名,自然地名
842,190201,地名地址信息,自然地名,海湾海峡
843,190202,地名地址信息,自然地名,岛屿
844,190203,地名地址信息,自然地名,山
845,190204,地名地址信息,自然地名,河流
846,190205,地名地址信息,自然地名,湖泊
847,190206,地名地址信息,自然地名,丘陵
848,190207,地名地址信息,自然地名,山地
849,190208,地名地址信息,自然地名,冰川
850,190209,地名地址信息,自然地名,高原
851,190210,地名地址信息,自然地名,平原
852,190211,地名地址信息,自然地名,盆地
853,190212,地名地址信息,自然地名,沙漠
854,190213,地名地址信息,自然地名,峡谷
855,190214,地名地址信息,自然地名,溪谷
856,190215,地名地址信息,自然地名,海沟
857,190216,地名地址信息,自然地名,半岛
858,190217,地名地址信息,自然地名,湾
859,190218,地名地址信息,自然地名,洋
860,190219,地名地址信息,自然地名,三角洲
861,190220,地名地址信息,自然地名,山脉
862,190300,地名地址信息,交通地名,交通地名
863,190301,地名地址信息,交通地名,道路名
864,190302,地名地址信息,交通地名,路口名
865,190303,地名地址信息,交通地名,环岛名
866,190304,地名地址信息,交通地名,高速路出口
867,190305,地名地址信息,交通地名,高速路入口
868,190306,地名地址信息,交通地名,立交桥
869,190307,地名地址信息,交通地名,桥
870,190308,地名地址信息,交通地名,城市快速路出口
871,190309,地名地址信息,交通地名,城市快速路入口
872,190310,地名地址信息,交通地名,隧道
873,190311,地名地址信息,交通地名,铁路
874,190400,地名地址信息,门牌信息,门牌信息
875,190401,地名地址信息,门牌信息,地名门牌
876,190402,地名地址信息,门牌信息,道路门牌
877,190403,地名地址信息,门牌信息,楼栋号
878,190500,地名地址信息,市中心,城市中心
879,190600,地名地址信息,标志性建筑物,标志性建筑物
880,190700,地名地址信息,热点地名,热点地名
881,200000,公共设施,公共设施,公共设施
882,200100,公共设施,报刊亭,报刊亭
883,200200,公共设施,公用电话,公用电话
884,200300,公共设施,公共厕所,公共厕所
885,200301,公共设施,公共厕所,男洗手间
886,200302,公共设施,公共厕所,女洗手间
887,200303,公共设施,公共厕所,残障洗手间/无障碍洗手间
888,200304,公共设施,公共厕所,婴儿换洗间/哺乳室/母婴室
889,200400,公共设施,紧急避难场所,紧急避难场所
890,220000,事件活动,事件活动,事件活动
891,220100,事件活动,公众活动,公众活动
892,220101,事件活动,公众活动,节日庆典
893,220102,事件活动,公众活动,展会展览
894,220103,事件活动,公众活动,体育赛事
895,220104,事件活动,公众活动,文艺演出
896,220105,事件活动,公众活动,大型会议
897,220106,事件活动,公众活动,运营活动
898,220107,事件活动,公众活动,商场活动
899,220200,事件活动,突发事件,突发事件
900,220201,事件活动,突发事件,自然灾害
901,220202,事件活动,突发事件,事故灾难
902,220203,事件活动,突发事件,城市新闻
903,220204,事件活动,突发事件,公共卫生事件
904,220205,事件活动,突发事件,公共社会事件
905,970000,室内设施,室内设施,室内设施
906,980000,虚拟数据,虚拟数据,虚拟数据
907,980100,虚拟数据,虚拟民宿,虚拟民宿
908,990000,通行设施,通行设施,通行设施
909,991000,通行设施,建筑物门,建筑物门
910,991001,通行设施,建筑物门,建筑物正门
911,991400,通行设施,临街院门,临街院门
912,991401,通行设施,临街院门,临街院正门
913,991500,通行设施,虚拟门,虚拟门
914,991600,通行设施,特殊通道,特殊通道
915,991601,通行设施,特殊通道,无障碍电梯
