source,id,name,address,latitude,longitude,type,contact,task,run_time
baidu,2cc3c8e8737274d74c2fdfa3,昆明石化加油站,云南省丽江市永胜县崀峨加油站(220省道东),26.528635640410958,100.75832220284896,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,4ff25eb9b7eb5c993fe23163,翠玉加油站,丽江市宁蒗彝族自治县翠依线东50米,27.449383237899934,100.6595535636792,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,d146b388eaa174df74026944,中国石化加油站(红顶加油站),云南省丽江市玉龙纳西族自治县巨甸镇维丽线红顶加油站,27.232485547136218,99.72724316170475,gas_station,95388,云南丽江,2026-04-13T20:01:42
baidu,ba13937e3bf7a5cd6b49f3e2,中国石油加油站(白汉场站),214国道附近,26.762591517342884,99.99377560041665,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,f7d60b604a47d450c7f025da,昆明石化加油站,丽江市永胜县220省道附近,25.99012897460923,100.58814345705834,gas_station,4008396555,云南丽江,2026-04-13T20:01:42
baidu,bba8738873e5d1ddbda82287,中国石油加油站(东山站),丽江市古城区丽宁公路,26.892592049443095,100.28793055079639,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,4fe5672718bae7dd13293512,鑫源加油站,云南省丽江市永胜县涛源镇热水塘村,26.159961826722334,100.43935815806205,gas_station,"13341019191,18908880456",云南丽江,2026-04-13T20:01:42
baidu,96b672aab0526074cf04efa3,中国石油加油站(大村站),云南省丽江市永胜县中国石油加油站,26.620801128316227,100.74830013536469,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,cac5fc766278dff22cb96d44,巨甸加油站,云南省丽江市玉龙纳西族自治县白维线与226省道交叉口西50米,27.286451111931253,99.65462846777712,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,2527be1e12b77cb24afc8d48,亚孚+加油站(天星站),丽江市华坪县战华路东50米,26.590153885027483,101.20902648916184,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,eeb261268e21565fc8213def,中国石化加油站(仁和服务区下行线站),丽江市永胜县华丽高速仁和服务区(华坪方向),26.51013382094873,101.01106592084658,gas_station,18760975640,云南丽江,2026-04-13T20:01:42
baidu,590efd82f8e2af776c3e1bf7,太极荣鑫加油站,云南省丽江市永胜县太极街,26.356106959963093,100.45196285876023,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,61f634f613f1cb796a49f3a3,昆明石化加油站(353国道站),云南省丽江市永胜县大龙洞东南方向80米,26.452346261844248,101.07469795142569,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,bd8a5ef9ac314f5a96f08cca,顺州鸿华加油站,云南省丽江市永胜县哨板线,26.61717219475916,100.54846642478597,gas_station,,云南丽江,2026-04-13T20:01:42
